"ANO4","TRIMESTRE","REGION","AGLOMERADO","CODUSU","NRO_HOGAR","COMPONENTE","CH03","CH04","CH06","ESTADO","CAT_OCUP","P21","precario_ingreso_num","precario_jornada_num","precario_contrato_num","num_dimensiones","indice_precariedad_cat","EMPLEO","SECTOR","PONDERA","PONDIIO","NIVEL_ED","caes_eph_label","CALIFICACION","PP04D_COD"
2021,1,43,2,"TQRMNOPPQHLKLMCDEFIAH00646702",1,1,1,2,27,1,3,40000,0,1,0,1,"Baja",NA,NA,675,1653,6,"Otros servicios comunitarios, sociales y personales","Profesionales","04001"
2021,1,43,2,"TQRMNOPPRHMOLQCDEFIAH00701809",1,1,1,1,38,1,3,30000,1,1,1,3,"Alta",NA,NA,559,814,3,"Comercio","Operativos","30313"
2021,1,43,2,"TQRMNOPPSHLKLMCDEFIAH00646637",1,1,1,1,25,1,3,-9,NA,1,0,1,"Baja",NA,NA,538,0,6,"Servicios financieros, de alquiler y empresariales","Profesionales","11331"
2021,1,43,2,"TQRMNOPPSHMOLQCDEFIAH00698759",1,1,1,2,49,1,3,17000,1,1,0,2,"Media",NA,NA,479,587,1,"Servicio domestico","No calificados","55314"
2021,1,43,2,"TQRMNOPQQHMOLRCDEFIAH00699393",1,2,3,1,37,1,3,-9,NA,0,0,0,"Ninguna",NA,NA,1314,0,3,"Ensenanza","Operativos","10333"
2021,1,43,2,"TQRMNOPQRHLLKTCDEFIAH00646764",1,2,8,2,25,1,3,-9,NA,0,0,0,"Ninguna",NA,NA,1008,0,6,"Transporte, almacenamiento y comunicaciones","Profesionales","45331"
2021,1,43,2,"TQRMNOPQRHLLKTCDEFIAH00646764",1,3,8,2,34,1,3,-9,NA,0,0,0,"Ninguna",NA,NA,1008,0,6,"Ensenanza","Profesionales","40331"
2021,1,43,2,"TQRMNOPQRHMOLRCDEFIAH00698638",1,2,3,1,60,1,3,-9,NA,1,1,2,"Media",NA,NA,1160,0,2,"Comercio","No calificados","32314"
2021,1,43,2,"TQRMNOPQSHLLKTCDEFIAH00646729",2,1,1,1,25,1,3,26000,1,0,0,1,"Baja",NA,NA,944,1612,5,"Administracion publica, defensa y seguridad social","Operativos","10313"
2021,1,43,2,"TQRMNOPQSHLLKTCDEFIAH00646729",2,2,2,2,26,1,3,-9,NA,1,1,2,"Media",NA,NA,944,0,5,"Hoteles y restaurantes","Operativos","54313"
2021,1,43,2,"TQRMNOPQTHLLKTCDEFIAH00646692",1,1,1,2,49,1,3,50000,0,0,0,0,"Ninguna",NA,NA,1341,2581,6,"Servicios financieros, de alquiler y empresariales","Profesionales","42331"
2021,1,43,2,"TQRMNOPQTHLLKTCDEFIAH00646692",1,2,2,1,49,1,3,45000,0,0,0,0,"Ninguna",NA,NA,1341,3547,5,"Industria manufacturera","Operativos","80313"
2021,1,43,2,"TQRMNOPQVHLMLOCDEFIAH00646742",1,1,1,1,44,1,3,60000,0,0,0,0,"Ninguna",NA,NA,761,914,4,"Transporte, almacenamiento y comunicaciones","Operativos","34323"
2021,1,43,2,"TQRMNOPQVHLOKMCDEFIAH00652164",1,1,1,1,54,1,3,-9,NA,1,1,2,"Media",NA,NA,560,0,2,"Construccion","Operativos","72313"
2021,1,43,2,"TQRMNOPQVHLOKMCDEFIAH00652164",1,2,2,2,50,1,2,-9,NA,1,1,2,"Media",NA,NA,560,0,4,"Comercio","Operativos","30113"
2021,1,43,2,"TQRMNOPQVHLOKMCDEFIAH00652164",1,3,3,1,25,1,3,-9,NA,1,1,2,"Media",NA,NA,560,0,4,"Construccion","No calificados","72314"
2021,1,43,2,"TQRMNOPQVHLOKMCDEFIAH00652164",1,4,3,1,21,1,3,-9,NA,1,1,2,"Media",NA,NA,560,0,4,"Construccion","No calificados","72314"
2021,1,43,2,"TQRMNOPQVHMLKPCDEFIAH00699117",1,1,1,1,34,1,3,-9,NA,0,0,0,"Ninguna",NA,NA,1122,0,6,"Transporte, almacenamiento y comunicaciones","Técnicos","81332"
2021,1,43,2,"TQRMNOPQWHLOKMCDEFIAH00646620",1,2,3,1,28,1,3,-9,NA,0,1,1,"Baja",NA,NA,582,0,2,"Construccion","No calificados","72314"
2021,1,43,2,"TQRMNOPQXHLMKQCDEFIAH00665108",1,1,1,1,60,1,3,-9,NA,1,0,1,"Baja",NA,NA,541,0,5,"Industria manufacturera","Profesionales","06001"
2021,1,43,2,"TQRMNOPQXHLMKQCDEFIAH00665108",1,3,3,1,21,1,3,-9,NA,0,1,1,"Baja",NA,NA,541,0,3,"Comercio","No calificados","30314"
2021,1,43,2,"TQRMNOPQXHLMLOCDEFIAH00652266",1,2,2,1,61,1,2,20000,1,0,1,2,"Media",NA,NA,863,3543,2,"Servicios financieros, de alquiler y empresariales","No calificados","56114"
2021,1,43,2,"TQRMNOPQXHLMLOCDEFIAH00652266",1,3,3,1,44,1,3,-9,NA,0,1,1,"Baja",NA,NA,863,0,4,"Industria manufacturera","No calificados","80314"
2021,1,43,2,"TQRMNOPQXHLOKMCDEFIAH00646715",1,1,1,2,56,1,3,7300,1,1,1,3,"Alta",NA,NA,726,888,1,"Administracion publica, defensa y seguridad social","Operativos","46313"
2021,1,43,2,"TQRMNOPQXHLOKMCDEFIAH00646715",1,2,2,1,59,1,2,-9,NA,1,1,2,"Media",NA,NA,726,0,3,"Construccion","Operativos","72113"
2021,1,43,2,"TQRMNOPQYHLMKQCDEFIAH00646666",1,1,1,1,42,1,3,40000,0,1,0,1,"Baja",NA,NA,607,1179,4,"Servicios sociales y de salud","Operativos","34323"
2021,1,43,2,"TQRMNOPQYHLMKQCDEFIAH00646666",1,2,2,2,40,1,3,-9,NA,1,0,1,"Baja",NA,NA,607,0,6,"Ensenanza","Técnicos","41332"
2021,1,43,2,"TQRMNOPQYHLMLOCDEFIAH00665113",1,1,1,1,64,1,3,47000,0,0,0,0,"Ninguna",NA,NA,608,928,3,"Construccion","Operativos","82333"
2021,1,43,2,"TQRMNOPQYHLMLOCDEFIAH00665113",1,3,3,2,30,1,3,-9,NA,0,0,0,"Ninguna",NA,NA,608,0,4,"Actividades no bien especificadas","Operativos","20333"
2021,1,43,2,"TQRMNOPQYHLMLOCDEFIAH00665113",1,4,3,2,32,1,3,-9,NA,0,0,0,"Ninguna",NA,NA,608,0,4,"Servicios financieros, de alquiler y empresariales","Operativos","10333"
2021,1,43,2,"TQRMNOPQYHLOKMCDEFIAH00646717",1,1,1,2,40,1,3,9000,1,1,1,3,"Alta",NA,NA,663,713,4,"Administracion publica, defensa y seguridad social","Operativos","53313"
2021,1,43,2,"TQRMNOPQYHLOKMCDEFIAH00646717",1,2,2,1,42,1,2,-9,NA,1,1,2,"Media",NA,NA,663,0,1,"Construccion","Operativos","72113"
2021,1,43,2,"TQRMNOPRRHKMKNCDEFIAH00700430",1,1,1,2,43,1,3,18000,1,1,0,2,"Media",NA,NA,475,818,6,"Ensenanza","Técnicos","41332"
2021,1,43,2,"TQRMNOPRSHKMKNCDEFIAH00701074",1,1,1,2,47,1,2,-9,NA,0,1,1,"Baja",NA,NA,613,0,2,"Comercio","Operativos","30133"
